Date,AAPL,MSFT,AMZN,GOOGL,META,BRK-B,JNJ,V,JPM,PG,WMT,MA,UNH,HD,INTC
2021-04-07,125.86817169189453,243.92471313476562,163.96949768066406,111.95149993896484,313.0899963378906,263.6199951171875,151.8638458251953,214.9242401123047,144.1380615234375,127.697265625,134.5013885498047,365.3538818359375,351.97662353515625,292.30145263671875,61.062198638916016
2021-04-08,128.28909301757812,247.19461059570312,164.96499633789062,112.52149963378906,313.0199890136719,263.510009765625,151.26980590820312,216.3258514404297,144.3148193359375,128.18287658691406,134.41481018066406,372.3525695800781,351.2546691894531,294.13494873046875,61.799564361572266
2021-04-09,130.88714599609375,249.7324981689453,168.61000061035156,113.53350067138672,312.4599914550781,266.010009765625,149.6732635498047,218.10980224609375,145.39404296875,127.35171508789062,134.48214721679688,374.6591796875,362.23828125,298.6251525878906,62.9148063659668
2021-04-12,129.1551055908203,249.79100036621094,168.96949768066406,112.23100280761719,311.5400085449219,267.92999267578125,150.03524780273438,217.0806427001953,145.0869903564453,127.86534881591797,134.5013885498047,374.422607421875,362.2190246582031,300.08447265625,60.28797149658203
2021-04-13,132.29440307617188,252.30934143066406,170.0,112.72149658203125,309.760009765625,267.1000061035156,148.0303497314453,216.6395263671875,143.35655212402344,126.17503356933594,134.0876922607422,372.737060546875,360.5055847167969,299.7196350097656,60.11285400390625
2021-04-14,129.9325714111328,249.47865295410156,166.64999389648438,112.09549713134766,302.82000732421875,267.5299987792969,148.43875122070312,217.5804901123047,140.6772003173828,126.63262939453125,134.03956604003906,372.9243469238281,361.5933837890625,299.3641357421875,59.16351318359375
2021-04-15,132.36331176757812,253.29522705078125,168.95449829101562,114.26249694824219,307.82000732421875,269.1400146484375,148.87503051757812,221.79527282714844,141.57029724121094,128.16419982910156,134.84774780273438,380.977783203125,375.43597412109375,301.9085998535156,59.92851257324219
2021-04-16,132.02874755859375,254.50552368164062,169.9720001220703,114.13749694824219,306.17999267578125,272.1099853515625,150.5922088623047,221.92271423339844,142.62161254882812,128.1735382080078,135.28067016601562,380.662353515625,376.3985900878906,306.90386962890625,59.67965316772461
2021-04-19,132.6979217529297,252.55331420898438,168.60049438476562,114.48799896240234,302.239990234375,270.2799987792969,151.0099334716797,221.3149871826172,142.01687622070312,127.57585144042969,134.41481018066406,376.7095031738281,375.27227783203125,305.7532653808594,58.64737319946289
2021-04-20,130.99542236328125,252.08485412597656,166.7344970703125,113.95050048828125,302.6499938964844,267.8900146484375,154.52777099609375,218.854736328125,138.872314453125,128.64047241210938,135.45384216308594,371.25836181640625,381.7123718261719,303.0497741699219,57.790184020996094
2021-04-21,131.37921142578125,254.34933471679688,168.1009979248047,113.9175033569336,301.4700012207031,272.2099914550781,154.62989807128906,222.94210815429688,140.0538330078125,127.79998016357422,135.84829711914062,377.6361999511719,383.90716552734375,304.9114074707031,58.711883544921875
2021-04-22,129.843994140625,251.02088928222656,165.45199584960938,112.6259994506836,296.5199890136719,269.510009765625,153.3211212158203,223.05972290039062,137.10467529296875,126.53119659423828,134.3762969970703,377.89239501953125,381.72198486328125,300.711181640625,57.67036437988281
2021-04-23,132.1862030029297,254.9057159423828,167.04400634765625,114.99649810791016,301.1300048828125,271.9800109863281,153.63673400878906,225.44155883789062,139.7282257080078,125.88270568847656,134.59756469726562,381.5396423339844,385.3510437011719,302.984375,54.60112762451172
2021-04-26,132.57980346679688,255.296142578125,170.4499969482422,115.49649810791016,303.0400085449219,270.8599853515625,152.33721923828125,225.77481079101562,140.0724639892578,123.3638916015625,132.68301391601562,381.94378662109375,381.0673522949219,299.33612060546875,54.15871047973633
